F10,Ap,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10
66.0,0.0,-0.03586265817284584,0.0493897870182991,0.0025578306522220373,0.05202219635248184,-0.009784160181879997,0.11805105209350586,-0.022740019485354424,0.03801807388663292,-0.051423896104097366,0.22290270030498505
66.0,0.33333334,0.02764482982456684,0.10283595323562622,0.03667738288640976,0.004257905762642622,0.0331660732626915,0.1494392603635788,-0.017375938594341278,0.05902642384171486,-0.00431455485522747,0.23217745125293732
66.0,0.5,-0.002292629098519683,0.09035554528236389,0.013216922990977764,0.024226609617471695,0.022577129304409027,0.13413549959659576,0.0005007784347981215,0.06270606070756912,-0.019905803725123405,0.2160467505455017
66.0,0.6666667,0.013212990947067738,0.09739887714385986,-0.00459323963150382,0.012029989622533321,0.0034584568347781897,0.11507557332515717,-0.010739515535533428,0.05772923678159714,-0.02001822181046009,0.2204335629940033
66.0,0.8333333,-0.05124727264046669,0.06270056962966919,-0.0056633311323821545,0.054902929812669754,-0.018202010542154312,0.11960826814174652,0.012331340461969376,0.07799132913351059,-0.05259672924876213,0.18763592839241028
66.0,1.0,0.02668710984289646,0.09892283380031586,0.03827351704239845,0.001747755566611886,0.029583420604467392,0.15239502489566803,-0.01914926804602146,0.06038276478648186,-0.004633859731256962,0.22818158566951752
66.0,1.1666666,0.020869702100753784,0.18972451984882355,0.10618073493242264,-0.02804693393409252,0.01827581413090229,0.0794190838932991,0.04656381532549858,0.11652008444070816,-0.010467364452779293,0.20999999344348907
66.0,1.5,-0.0005138529813848436,0.08726608753204346,0.008813396096229553,0.018724633380770683,0.014557712711393833,0.13452687859535217,0.004230972845107317,0.06042690575122833,-0.02554471418261528,0.21212925016880035
66.0,1.6666666,0.027986640110611916,0.09405455738306046,0.04073113948106766,-0.0015460074646398425,0.0273651871830225,0.15767186880111694,-0.02072867937386036,0.06045730039477348,-0.004988241009414196,0.22406092286109924
66.0,2.0,0.04572897031903267,0.09326291084289551,0.03942350670695305,-0.016751788556575775,0.026658274233341217,0.17901380360126495,-0.037973131984472275,0.06149415299296379,0.00717411981895566,0.21755702793598175
66.0,2.1666667,0.04966997727751732,0.10317939519882202,0.036778856068849564,-0.019564924761652946,0.0336521752178669,0.17762422561645508,-0.0362858846783638,0.0735359862446785,0.015367995947599411,0.21763312816619873
66.0,2.3333333,0.04011182487010956,0.10381533205509186,0.05344722792506218,-0.019033091142773628,0.014785123988986015,0.15987670421600342,-0.029966983944177628,0.0733690857887268,0.012857181951403618,0.21419624984264374
66.0,2.5,0.03544839844107628,0.09872513264417648,0.029790636152029037,-0.011975670233368874,0.023543642833828926,0.16288836300373077,-0.029630932956933975,0.07002174109220505,0.0024230824783444405,0.21361617743968964
66.0,2.6666667,0.014109188690781593,0.10602670907974243,0.004449895117431879,0.012287270277738571,0.012305120937526226,0.15964291989803314,-0.022070303559303284,0.08285722881555557,-0.001626293989829719,0.19036254286766052
66.0,2.8333333,0.04986172169446945,0.107964888215065,0.0390218086540699,-0.023043612018227577,0.034181687980890274,0.17489935457706451,-0.03702910989522934,0.07166527211666107,0.01364306639879942,0.21599355340003967
66.0,3.0,0.043075982481241226,0.11102665215730667,0.04817129671573639,-0.023435259237885475,0.029247799888253212,0.16972920298576355,-0.032310232520103455,0.07411959767341614,0.011652197688817978,0.20869624614715576
66.0,3.1666667,0.04947545379400253,0.11021426320075989,0.0440741628408432,-0.031951382756233215,0.017796404659748077,0.1734611988067627,-0.033674437552690506,0.07144615799188614,0.01316169835627079,0.2048027366399765
66.0,3.3333333,0.024069134145975113,0.10517482459545135,0.03421997278928757,-0.01604597456753254,0.00374983181245625,0.14973720908164978,-0.02037721686065197,0.065383180975914,0.0021275922190397978,0.19906708598136902
66.0,3.5,0.043813031166791916,0.11191264539957047,0.038327910006046295,-0.02981552854180336,0.013721346855163574,0.16140416264533997,-0.02637782320380211,0.07135888934135437,0.008581694215536118,0.2045174092054367
66.0,3.6666667,0.03456038609147072,0.1170034110546112,0.039206355810165405,-0.02134743146598339,0.020672384649515152,0.14806613326072693,-0.022938020527362823,0.08020075410604477,0.008924895897507668,0.20539097487926483
66.0,3.8333333,0.04791444540023804,0.10857533663511276,0.047175947576761246,-0.03434719145298004,0.01590808853507042,0.17671245336532593,-0.035985067486763,0.0695393979549408,0.013254576362669468,0.20194688439369202
66.0,4.0,0.03702804446220398,0.09646618366241455,0.04005110263824463,-0.03475678712129593,0.0004830034449696541,0.16063301265239716,-0.036946721374988556,0.061508551239967346,0.00902674812823534,0.19776469469070435
66.0,4.1666665,0.03957450017333031,0.11517009139060974,0.039378564804792404,-0.03318324312567711,0.006854939740151167,0.1602439433336258,-0.01931479573249817,0.0715247094631195,0.003439907683059573,0.1909196674823761
